"","pitcher","hit","out","total","obp"
"144",612434,43,123,166,0.259036144578313
"145",613534,10,29,39,0.256410256410256
"146",613564,4,3,7,0.571428571428571
"147",614179,33,76,109,0.302752293577982
"148",621016,14,50,64,0.21875
"149",621051,19,103,122,0.155737704918033
"150",621074,26,66,92,0.282608695652174
"151",621237,22,78,100,0.22
"152",621249,13,30,43,0.302325581395349
"153",621294,13,34,47,0.276595744680851
"154",621345,41,131,172,0.238372093023256
"155",621366,23,83,106,0.216981132075472
"156",621368,2,1,3,0.666666666666667
"157",621381,51,162,213,0.23943661971831
"158",621389,73,121,194,0.376288659793814
"159",622065,34,93,127,0.267716535433071
"160",622072,72,203,275,0.261818181818182
"161",622075,30,80,110,0.272727272727273
"162",622088,3,8,11,0.272727272727273
"163",622098,34,104,138,0.246376811594203
"164",622503,19,33,52,0.365384615384615
"165",622554,29,96,125,0.232
"166",622608,7,21,28,0.25
"167",622780,16,58,74,0.216216216216216
"168",623149,10,35,45,0.222222222222222
"169",623167,52,110,162,0.320987654320988
"170",623211,40,113,153,0.261437908496732
"171",623352,23,104,127,0.181102362204724
"172",623381,5,8,13,0.384615384615385
"173",623433,14,51,65,0.215384615384615
"174",623451,13,31,44,0.295454545454545
"175",623465,22,110,132,0.166666666666667
"176",624133,108,290,398,0.271356783919598
"177",624522,17,63,80,0.2125
"178",624647,17,71,88,0.193181818181818
"179",628452,35,112,147,0.238095238095238
"180",628708,31,76,107,0.289719626168224
"181",628711,79,254,333,0.237237237237237
"182",629498,1,1,2,0.5
"183",630023,27,46,73,0.36986301369863
"184",640444,6,9,15,0.4
"185",640448,48,130,178,0.269662921348315
"186",640451,31,114,145,0.213793103448276
"187",640455,80,211,291,0.274914089347079
"188",640462,44,122,166,0.265060240963855
"189",640470,35,107,142,0.246478873239437
"190",641360,40,120,160,0.25
"191",641401,19,50,69,0.27536231884058
"192",641427,6,17,23,0.260869565217391
"193",641447,7,7,14,0.5
"194",641525,0,3,3,0
"195",641627,17,49,66,0.257575757575758
"196",641645,1,3,4,0.25
"197",641672,18,46,64,0.28125
"198",641703,34,92,126,0.26984126984127
"199",641712,63,137,200,0.315
"200",641729,35,110,145,0.241379310344828
"201",641743,10,30,40,0.25
"202",641755,18,36,54,0.333333333333333
"203",641771,26,49,75,0.346666666666667
"204",641778,34,72,106,0.320754716981132
"205",642121,3,12,15,0.2
"206",642133,1,3,4,0.25
"207",642207,17,124,141,0.120567375886525
"208",642216,37,90,127,0.291338582677165
"209",642231,13,28,41,0.317073170731707
"210",642232,33,88,121,0.272727272727273
"211",642239,17,33,50,0.34
"212",642397,37,110,147,0.251700680272109
"213",642547,89,328,417,0.213429256594724
"214",642701,8,24,32,0.25
"215",642770,6,17,23,0.260869565217391
"216",643361,15,42,57,0.263157894736842
"217",643410,31,128,159,0.19496855345912
"218",643511,51,142,193,0.264248704663212
"219",645261,117,307,424,0.275943396226415
"220",645444,4,6,10,0.4
"221",646241,9,18,27,0.333333333333333
"222",647336,23,51,74,0.310810810810811
"223",650496,11,28,39,0.282051282051282
"224",650893,25,75,100,0.25
"225",650911,60,175,235,0.25531914893617
"226",650960,15,58,73,0.205479452054795
"227",656234,67,172,239,0.280334728033473
"228",656257,19,74,93,0.204301075268817
"229",656266,4,16,20,0.2
"230",656290,11,30,41,0.268292682926829
"231",656322,5,9,14,0.357142857142857
"232",656382,8,21,29,0.275862068965517
"233",656427,88,204,292,0.301369863013699
"234",656457,14,28,42,0.333333333333333
"235",656464,28,124,152,0.184210526315789
"236",656546,24,118,142,0.169014084507042
"237",656578,43,127,170,0.252941176470588
"238",656605,127,393,520,0.244230769230769
"239",656730,27,66,93,0.290322580645161
"240",656731,107,252,359,0.298050139275766
"241",656756,86,242,328,0.26219512195122
"242",656793,2,15,17,0.117647058823529
"243",656814,20,33,53,0.377358490566038
"244",656818,19,28,47,0.404255319148936
"245",656849,102,229,331,0.308157099697885
"246",656887,1,8,9,0.111111111111111
"247",656945,37,161,198,0.186868686868687
"248",656970,25,48,73,0.342465753424658
"249",656981,17,37,54,0.314814814814815
"250",656986,2,5,7,0.285714285714286
"251",657006,125,340,465,0.268817204301075
"252",657041,3,3,6,0.5
"253",657044,1,23,24,0.0416666666666667
"254",657140,29,54,83,0.349397590361446
"255",657240,38,129,167,0.227544910179641
"256",657265,19,58,77,0.246753246753247
"257",657272,3,2,5,0.6
"258",657277,141,405,546,0.258241758241758
"259",657571,43,111,154,0.279220779220779
"260",657585,12,43,55,0.218181818181818
"261",657612,46,85,131,0.351145038167939
"262",657697,4,10,14,0.285714285714286
"263",657756,80,170,250,0.32
"264",658648,39,110,149,0.261744966442953
"265",659275,37,65,102,0.362745098039216
"266",660593,21,34,55,0.381818181818182
